"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: November 24, 2021 - Next Release Date December 22, 2021"
"Line","","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3"
"9","        Nonresidential",1450.3,1498.7,1519.7,1525.1,1505.2,1473.6,1452.6,1408.9,1374.0,1357.3,1348.9,1331.2,1332.7,1366.8,1392.1,1411.9,1401.8,1445.5,1490.5,1531.7,1568.3,1603.8,1643.1,1668.7,1735.3,1774.4,1815.9,1849.5,1892.0,1937.7,1967.4,1997.1,2013.7,2024.0,2007.0,1918.7,1761.4,1685.0,1656.0,1659.3,1660.0,1715.7,1762.4,1801.9,1805.1,1862.0,1953.8,2009.0,2073.4,2126.2,2126.0,2148.6,2170.9,2180.3,2220.7,2274.0,2314.9,2383.6,2439.8,2462.0,2464.3,2472.5,2479.2,2450.3,2435.5,2454.1,2481.6,2506.2,2545.4,2579.7,2592.7,2648.6,2716.0,2770.1,2798.1,2838.1,2886.9,2946.1,2969.3,2952.6,2900.1,2659.1,2776.6,2862.7,2956.7,3029.2,3072.8
"10","            Structures",300.6,316.2,330.9,336.3,331.8,338.9,347.1,316.3,302.7,289.3,278.2,277.7,279.2,286.9,287.9,292.4,292.3,300.8,314.0,323.6,337.5,345.0,355.8,373.6,397.6,420.1,435.8,447.2,469.6,498.1,526.7,546.8,556.9,571.9,578.8,576.8,527.7,473.1,429.5,392.9,368.8,382.1,379.1,389.2,362.2,392.7,421.2,441.8,470.1,488.1,484.7,474.9,463.0,480.0,507.5,519.5,546.7,574.7,586.0,603.0,596.9,599.0,582.7,558.9,536.0,550.1,571.6,583.7,599.4,605.0,593.2,599.6,627.2,641.6,638.2,626.1,639.9,669.4,696.0,685.3,687.1,585.9,563.5,552.3,565.0,572.8,580.3
"11","            Equipment",749.4,774.0,774.0,767.0,751.7,716.0,692.4,686.0,667.3,661.9,661.3,648.0,644.3,665.2,680.7,692.3,681.8,713.5,734.2,758.1,768.6,786.9,808.3,815.8,850.2,857.6,867.4,873.9,886.3,897.8,896.0,893.6,885.4,871.8,852.1,772.2,683.5,652.2,662.0,683.3,719.8,763.7,804.5,820.1,839.8,854.3,904.5,926.5,957.8,984.4,984.3,1007.1,1022.8,1018.0,1016.5,1050.9,1058.2,1085.2,1117.0,1107.4,1115.6,1117.4,1130.9,1113.9,1104.3,1087.0,1080.0,1079.7,1089.0,1110.1,1118.3,1152.0,1166.4,1175.7,1195.7,1224.2,1240.2,1247.4,1227.4,1210.3,1141.9,1020.6,1135.5,1197.5,1244.5,1270.4,1277.0
"12","            Intellectual property products",400.3,408.6,414.7,421.8,421.8,418.7,413.1,406.6,404.1,406.0,409.3,405.5,409.2,414.7,423.5,427.2,427.7,431.2,442.3,450.1,462.2,472.0,479.1,479.3,487.6,496.7,512.7,528.4,536.2,541.8,544.7,556.7,571.4,580.3,576.1,569.8,550.1,559.7,564.5,583.1,571.4,570.0,578.8,592.5,603.1,615.1,628.1,640.7,645.4,653.7,657.0,666.6,685.1,682.3,696.7,703.6,710.0,723.6,736.7,751.6,751.7,756.1,765.6,777.4,795.2,816.9,830.0,842.8,857.0,864.7,881.2,897.0,922.3,952.7,964.2,987.7,1006.7,1029.3,1046.0,1057.0,1071.1,1052.6,1077.6,1112.9,1147.2,1186.0,1215.5
"13","        Residential",484.2,486.6,483.1,487.8,496.7,511.0,522.4,522.1,538.3,554.8,558.9,578.3,601.4,612.0,651.7,683.1,706.2,743.2,763.6,786.3,815.3,843.8,875.6,890.2,896.2,859.3,814.7,782.4,750.9,719.3,673.7,618.2,566.7,538.8,507.1,451.4,404.5,374.7,389.4,391.5,379.4,396.3,361.2,369.3,368.8,374.3,381.1,391.2,414.1,419.3,433.7,460.9,485.1,507.2,523.1,524.6,532.1,550.4,568.4,589.7,605.1,623.3,645.7,661.1,684.4,694.1,700.7,718.6,742.7,756.7,761.5,780.4,789.0,808.9,804.3,791.8,796.5,808.5,821.9,828.8,872.9,797.8,917.2,1003.2,1065.5,1070.2,1083.1
"14","    Change in private inventories",16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,0.3,21.2,25.4,33.0,26.1,-6.5,0.4,36.3,46.0,74.0,64.2,72.1,102.5,28.8,12.4,86.4,78.2,75.5,78.8,43.5,21.4,42.2,44.9,27.3,-16.7,-22.3,-15.8,-62.2,-151.0,-196.0,-204.0,-52.1,-1.2,36.7,112.9,67.3,32.1,61.0,-12.0,104.0,80.3,91.4,84.4,28.7,82.3,87.8,136.2,111.9,52.3,96.4,99.4,87.8,175.6,150.0,126.8,94.7,54.5,30.3,3.4,56.8,-4.6,21.0,59.1,42.4,45.9,24.2,77.1,87.7,118.5,88.4,67.0,20.6,-20.6,-289.9,15.0,57.3,-94.2,-174.3,-65.3
"15","Net exports of goods and services",-356.6,-362.5,-393.9,-411.3,-402.7,-364.0,-370.6,-369.7,-386.9,-428.3,-447.5,-496.3,-525.3,-519.9,-519.0,-523.7,-566.0,-617.6,-652.7,-700.3,-696.7,-707.2,-751.0,-804.8,-790.8,-794.0,-823.3,-737.7,-739.3,-745.8,-729.0,-729.7,-771.2,-776.4,-787.4,-628.5,-421.0,-358.4,-424.0,-473.3,-509.2,-542.5,-553.9,-523.6,-568.5,-581.1,-567.1,-601.8,-602.3,-565.2,-523.1,-515.9,-500.2,-499.3,-483.0,-435.1,-511.3,-506.5,-490.5,-531.9,-526.9,-508.8,-543.0,-526.1,-514.4,-491.7,-485.1,-533.8,-533.3,-557.1,-523.5,-545.8,-580.1,-539.8,-624.0,-640.9,-606.4,-632.3,-614.0,-532.4,-541.7,-538.9,-725.7,-798.4,-872.5,-881.7,-939.7
"16","    Exports",1052.9,1093.4,1125.0,1113.2,1096.8,1058.0,998.9,953.5,969.2,1004.2,1015.6,1003.0,1004.2,1007.5,1037.3,1091.7,1133.7,1170.2,1180.2,1221.4,1258.4,1294.9,1302.3,1350.7,1414.0,1459.8,1475.4,1531.5,1578.0,1622.8,1685.7,1750.7,1813.3,1905.3,1922.2,1700.3,1511.8,1521.1,1594.7,1703.5,1759.9,1819.7,1877.3,1972.1,2040.4,2116.1,2156.8,2150.1,2190.0,2215.6,2227.7,2237.5,2255.1,2260.4,2284.2,2348.2,2342.4,2394.1,2398.1,2375.1,2297.4,2298.7,2258.4,2220.1,2179.2,2218.9,2265.4,2264.9,2334.4,2346.2,2383.1,2471.3,2504.4,2568.3,2534.2,2527.1,2524.6,2533.4,2512.1,2508.7,2385.5,1807.9,2079.6,2220.7,2311.9,2461.5,2500.5
"17","        Goods",761.3,789.1,820.7,809.1,796.3,759.6,713.1,689.3,685.5,712.1,722.4,706.3,715.9,716.6,731.8,771.1,797.0,822.1,834.9,857.9,883.7,917.3,921.4,955.0,1002.8,1034.4,1051.9,1083.2,1105.5,1136.4,1176.0,1221.0,1273.7,1351.5,1371.2,1167.7,1004.7,1004.5,1067.1,1153.3,1200.2,1250.4,1283.0,1358.0,1415.2,1468.8,1489.6,1500.2,1515.4,1533.4,1541.4,1528.2,1541.1,1547.7,1556.7,1610.0,1593.8,1630.2,1635.8,1608.1,1523.9,1526.7,1487.6,1448.5,1414.3,1434.0,1466.7,1475.4,1517.1,1514.8,1540.2,1614.5,1636.4,1706.1,1670.4,1664.3,1659.2,1648.4,1634.8,1624.6,1586.2,1146.3,1413.0,1520.8,1607.5,1726.8,1749.1
"18","        Services",291.6,304.3,304.3,304.1,300.5,298.4,285.8,264.3,283.6,292.1,293.2,296.7,288.3,290.8,305.5,320.5,336.7,348.0,345.3,363.5,374.7,377.6,380.9,395.8,411.2,425.3,423.5,448.3,472.5,486.3,509.7,529.7,539.6,553.8,551.1,532.6,507.1,516.6,527.6,550.2,559.7,569.3,594.2,614.1,625.2,647.3,667.2,649.9,674.6,682.1,686.4,709.3,713.9,712.8,727.6,738.2,748.6,763.9,762.3,767.0,773.5,772.0,770.7,771.5,765.0,785.0,798.7,789.5,817.3,831.4,842.9,856.8,868.0,862.2,863.8,862.8,865.5,885.1,877.4,884.1,799.3,661.5,666.6,699.9,704.4,734.8,751.4
"19","    Imports",1409.5,1455.9,1518.9,1524.5,1499.5,1422.0,1369.5,1323.2,1356.0,1432.4,1463.1,1499.3,1529.5,1527.3,1556.3,1615.4,1699.6,1787.7,1832.9,1921.8,1955.1,2002.1,2053.3,2155.5,2204.8,2253.8,2298.7,2269.2,2317.3,2368.6,2414.7,2480.4,2584.6,2681.7,2709.6,2328.8,1932.8,1879.5,2018.7,2176.8,2269.1,2362.3,2431.2,2495.7,2608.9,2697.2,2723.9,2751.9,2792.3,2780.8,2750.8,2753.4,2755.3,2759.8,2767.2,2783.3,2853.7,2900.6,2888.5,2907.0,2824.4,2807.5,2801.4,2746.1,2693.6,2710.6,2750.5,2798.7,2867.7,2903.3,2906.6,3017.1,3084.5,3108.1,3158.2,3168.1,3131.0,3165.7,3126.1,3041.1,2927.3,2346.7,2805.3,3019.1,3184.5,3343.2,3440.2
"20","        Goods",1193.6,1232.3,1285.1,1293.7,1265.8,1188.6,1144.4,1105.9,1121.6,1197.4,1226.4,1250.1,1279.7,1281.9,1293.0,1341.5,1414.5,1496.0,1533.1,1610.9,1642.4,1687.5,1733.1,1828.1,1857.7,1899.9,1944.0,1900.9,1938.2,1980.2,2015.1,2077.5,2165.5,2258.7,2274.7,1895.8,1523.0,1473.6,1606.6,1749.3,1838.0,1925.8,1982.3,2042.1,2159.8,2231.5,2249.9,2283.3,2319.5,2304.2,2273.1,2276.2,2289.2,2290.1,2295.6,2300.7,2360.8,2405.7,2392.7,2398.1,2329.0,2306.6,2293.6,2229.1,2179.8,2193.6,2224.6,2276.7,2329.9,2348.8,2341.1,2459.8,2528.4,2539.6,2586.6,2581.6,2544.3,2563.2,2522.4,2441.8,2385.1,1942.1,2368.8,2540.8,2698.1,2819.0,2859.0
"21","        Services",215.8,223.6,233.8,230.8,233.6,233.4,225.1,217.3,234.5,235.0,236.7,249.3,249.7,245.4,263.3,273.9,285.1,291.7,299.8,310.9,312.7,314.6,320.2,327.4,347.1,353.9,354.7,368.3,379.1,388.4,399.6,402.9,419.1,423.0,434.9,433.0,409.8,405.8,412.2,427.5,431.0,436.5,448.9,453.6,449.0,465.7,474.0,468.7,472.8,476.6,477.7,477.2,466.1,469.6,471.6,482.6,492.9,494.9,495.8,508.9,495.3,500.9,507.8,517.0,513.8,517.0,525.9,522.0,537.9,554.5,565.5,557.4,556.1,568.5,571.6,586.4,586.8,602.5,603.7,599.3,542.2,404.6,436.5,478.3,486.4,524.2,581.2
"22","Government consumption expenditures and gross investment",1789.9,1822.5,1832.1,1861.3,1906.3,1947.7,1953.4,1992.7,2040.0,2074.5,2101.3,2142.2,2172.0,2198.8,2220.4,2251.2,2286.6,2320.7,2356.4,2388.8,2426.1,2452.2,2494.4,2528.4,2580.1,2610.6,2630.3,2674.5,2718.5,2770.0,2808.7,2865.1,2909.6,2971.6,3029.0,3021.8,3022.0,3070.5,3092.1,3120.8,3133.8,3165.8,3158.3,3164.3,3155.8,3168.3,3136.9,3130.8,3144.0,3130.5,3139.1,3132.3,3125.4,3132.6,3134.8,3139.3,3138.2,3154.1,3191.8,3191.2,3189.3,3232.0,3250.6,3254.5,3270.2,3287.4,3315.8,3338.8,3357.3,3378.2,3400.8,3459.9,3505.5,3564.3,3600.9,3617.4,3650.5,3702.9,3731.3,3771.0,3831.6,3859.6,3861.7,3885.3,3977.3,4015.9,4083.7
"23","    Federal",619.4,641.2,633.6,638.2,653.3,666.2,674.4,686.9,714.0,734.8,748.4,775.2,792.7,826.0,833.3,855.1,871.8,884.6,902.5,909.6,931.8,939.3,956.4,963.7,997.1,997.2,995.4,1015.1,1017.5,1042.5,1058.8,1085.3,1111.2,1146.6,1170.2,1179.8,1185.2,1213.5,1228.3,1256.2,1278.4,1305.1,1304.3,1312.9,1306.0,1312.7,1288.7,1291.7,1296.1,1288.6,1293.8,1269.5,1240.5,1232.9,1219.0,1216.3,1211.8,1210.0,1229.3,1212.9,1216.0,1220.6,1221.2,1229.3,1229.3,1225.8,1238.1,1244.8,1242.5,1257.6,1263.3,1287.7,1305.8,1331.7,1350.8,1367.7,1387.0,1406.9,1424.1,1441.7,1454.7,1525.0,1515.1,1512.3,1568.6,1563.3,1562.0
"24","        National defense",383.0,399.6,391.0,396.6,404.5,410.0,415.4,422.8,440.9,452.5,460.2,482.2,495.0,521.9,524.0,544.0,556.1,562.8,580.7,579.8,598.4,606.0,616.4,617.0,635.7,640.0,632.4,655.2,654.6,674.1,684.4,703.9,721.2,742.2,766.3,771.6,765.4,782.9,792.8,809.1,817.5,828.0,828.9,837.4,831.6,843.0,835.0,826.3,824.1,816.0,820.2,796.4,775.3,770.9,757.0,753.6,744.3,741.8,754.1,733.5,730.3,732.1,725.9,730.8,727.3,720.2,731.2,733.0,729.6,746.5,747.4,762.4,767.4,788.1,799.4,816.2,829.3,840.4,852.5,868.0,868.3,872.4,883.9,900.8,897.1,904.1,910.9
"25","        Nondefense",236.3,241.6,242.5,241.5,248.8,256.2,259.0,264.1,273.1,282.3,288.2,293.1,297.7,304.0,309.2,311.2,315.7,321.7,321.8,329.8,333.4,333.3,340.0,346.7,361.3,357.2,363.1,359.9,362.9,368.4,374.4,381.3,390.0,404.4,404.0,408.2,419.8,430.6,435.5,447.1,460.9,477.0,475.4,475.4,474.4,469.7,453.7,465.4,472.0,472.6,473.6,473.1,465.1,462.0,462.0,462.6,467.5,468.2,475.2,479.4,485.7,488.5,495.3,498.6,502.0,505.6,506.9,511.8,512.9,511.2,515.9,525.3,538.4,543.7,551.4,551.4,557.6,566.6,571.7,573.7,586.4,652.6,631.3,611.5,671.6,659.2,651.1
"26","    State and local",1170.5,1181.3,1198.5,1223.1,1253.0,1281.5,1279.0,1305.9,1326.0,1339.7,1352.9,1367.0,1379.3,1372.8,1387.2,1396.0,1414.8,1436.1,1453.9,1479.2,1494.3,1513.0,1538.0,1564.8,1583.0,1613.4,1634.8,1659.4,1700.9,1727.5,1749.9,1779.8,1798.5,1825.0,1858.8,1842.0,1836.8,1857.0,1863.8,1864.6,1855.5,1860.7,1854.0,1851.4,1849.8,1855.5,1848.3,1839.1,1847.9,1841.8,1845.3,1862.7,1884.9,1899.8,1915.8,1923.0,1926.4,1944.1,1962.5,1978.3,1973.3,2011.4,2029.4,2025.2,2040.9,2061.6,2077.7,2094.0,2114.8,2120.6,2137.5,2172.2,2199.7,2232.6,2250.1,2249.7,2263.5,2296.0,2307.2,2329.2,2376.9,2334.6,2346.5,2373.0,2408.7,2452.6,2521.7
