Report Date,Average Duration
1972-01-31,11.1141871097832
1972-02-29,13.6334043209555
1972-03-31,17.2570942668077
1972-04-30,17.9351772673213
1972-05-31,17.8037615348387
1972-06-30,16.8842614231606
1972-07-31,11.3609078290714
1972-08-31,12.2755669711691
1972-09-30,15.7697123342733
1972-10-31,15.150786323114
1972-11-30,14.2437364718615
1972-12-31,12.5158062565287
1973-01-31,10.878701792475
1973-02-28,13.0178934003257
1973-03-31,15.4965082477771
1973-04-30,16.4376666727851
1973-05-31,16.4456467426909
1973-06-30,15.2690309885389
1973-07-31,11.7139893321406
1973-08-31,11.1997804697314
1973-09-30,14.7227490288684
1973-10-31,14.6497626876553
1973-11-30,13.35424176047
1973-12-31,11.5377391570708
1974-01-31,9.19188047286313
1974-02-28,11.2814459496926
1974-03-31,14.9945152164108
1974-04-30,17.774960183755
1974-05-31,18.3080710995287
1974-06-30,16.9504378454009
1974-07-31,13.0260102377749
1974-08-31,11.5341371335891
1974-09-30,14.0225115619511
1974-10-31,12.6661208633616
1974-11-30,11.4802691579965
1974-12-31,10.0424667193066
1975-01-31,9.036706472858
1975-02-28,11.2815761185499
1975-03-31,15.645464676897
1975-04-30,19.1119301891455
1975-05-31,21.3465386589532
1975-06-30,22.0159439358222
1975-07-31,18.4798974070251
1975-08-31,16.7267993543193
1975-09-30,19.7394139926802
1975-10-31,18.4999386673716
1975-11-30,17.3645056538871
1975-12-31,15.412070768662
1976-01-31,11.5395310041048
1976-02-29,13.9966690953368
1976-03-31,17.6217636887608
1976-04-30,18.8929668032594
1976-05-31,18.2006506816895
1976-06-30,17.5799718674837
1976-07-31,13.8391495186826
1976-08-31,13.8124774617514
1976-09-30,16.6787179727075
1976-10-31,14.7434387935861
1976-11-30,14.196978587021
1976-12-31,12.6933866240962
1977-01-31,10.1473706091898
1977-02-28,11.8191323673943
1977-03-31,17.4933946030762
1977-04-30,18.3664991531777
1977-05-31,17.7403356716156
1977-06-30,17.7044889799024
1977-07-31,13.1622096028191
1977-08-31,13.3720513653509
1977-09-30,16.1177277645531
1977-10-31,14.809480100269
1977-11-30,14.7823405573233
1977-12-31,12.5363845457264
1978-01-31,10.4185692140987
1978-02-28,12.0920976103174
1978-03-31,16.2703034192026
1978-04-30,16.6990382023169
1978-05-31,16.8938290035557
1978-06-30,14.5876403323487
1978-07-31,11.6017276608798
1978-08-31,11.597737651782
1978-09-30,15.5134137260826
1978-10-31,14.0940223035893
1978-11-30,13.9222080602957
1978-12-31,11.5922638582254
1979-01-31,9.77030428606173
1979-02-28,12.5043825007724
1979-03-31,15.9629198914406
1979-04-30,16.2115461543892
1979-05-31,16.5004329156626
1979-06-30,14.6552584263714
1979-07-31,11.1865682541708
1979-08-31,11.4961428543529
1979-09-30,15.2272008916327
1979-10-31,13.9899192108266
1979-11-30,13.2442464300286
1979-12-31,12.4422931124978
1980-01-31,10.2385793363828
1980-02-29,13.7765429866591
1980-03-31,18.3096312869343
1980-04-30,16.6753632292181
1980-05-31,14.3460758041156
1980-06-30,14.7259252946419
1980-07-31,13.0596052376211
1980-08-31,14.5998495178252
1980-09-30,19.1996020446558
1980-10-31,18.0656005154924
1980-11-30,17.548959985248
1980-12-31,15.58041192938
1981-01-31,10.9322087347651
1981-02-28,14.7518828403992
1981-03-31,18.8693938292996
1981-04-30,18.6999985820452
1981-05-31,18.1019990383904
1981-06-30,16.9951603073093
1981-07-31,12.7330676081578
1981-08-31,13.4586793110662
1981-09-30,15.8694580504546
1981-10-31,13.5866472132556
1981-11-30,13.4370532062216
1981-12-31,12.5527051777371
1982-01-31,9.85110135582806
1982-02-28,14.5013452631011
1982-03-31,18.5747426617983
1982-04-30,18.7377083289744
1982-05-31,18.8255833195433
1982-06-30,18.1457944960669
1982-07-31,14.5065912810889
1982-08-31,16.2103490518199
1982-09-30,18.2650855916077
1982-10-31,16.5698339897723
1982-11-30,17.0356582935386
1982-12-31,16.0091119853303
1983-01-31,12.2411555137117
1983-02-28,16.6242662565084
1983-03-31,21.576138412798
1983-04-30,21.4633255686686
1983-05-31,21.8268971028241
1983-06-30,20.9981141751441
1983-07-31,16.1096114375107
1983-08-31,18.0650125912357
1983-09-30,19.3642787544487
1983-10-31,16.8719566219656
1983-11-30,16.0241603985846
1983-12-31,14.633376223744
1984-01-31,10.8762484438912
1984-02-29,15.089020020254
1984-03-31,18.7530754664513
1984-04-30,17.7967981574477
1984-05-31,17.3550982064359
1984-06-30,16.5505091215878
1984-07-31,12.6138748657074
1984-08-31,13.7982165820265
1984-09-30,15.4298732851239
1984-10-31,14.0693180516157
1984-11-30,12.6934689354131
1984-12-31,12.8846393388922
1985-01-31,9.99385903882155
1985-02-28,13.49362955286
1985-03-31,17.4906978303131
1985-04-30,17.5644782834624
1985-05-31,16.6297285578301
1985-06-30,16.5622074550721
1985-07-31,13.1653750672544
1985-08-31,14.1554265657466
1985-09-30,15.6898018969111
1985-10-31,15.1171605969358
1985-11-30,13.7682121243731
1985-12-31,13.4240541822496
1986-01-31,9.90661733952838
1986-02-28,14.2704676120402
1986-03-31,17.6184733647646
1986-04-30,17.5848891800415
1986-05-31,16.6234795728476
1986-06-30,17.1939809903962
1986-07-31,13.7654627613152
1986-08-31,13.764195843377
1986-09-30,16.6648457436242
1986-10-31,15.1955901345119
1986-11-30,14.5211856956338
1986-12-31,13.5149588503062
1987-01-31,10.1066947269841
1987-02-28,14.1421239510189
1987-03-31,18.6334138271981
1987-04-30,18.5910198125181
1987-05-31,17.8348538376668
1987-06-30,16.8518149971249
1987-07-31,13.0848069984141
